Id,Prediction
0,3677818.9104487174
1,3214821.513125
2,3338494.177941177
3,2697038.043679813
4,2849495.0475
5,4002004.416458333
6,3898076.7254487183
7,3042197.791875
8,5067227.110454545
9,4434089.445
10,3877828.859304813
11,3304355.494375
12,4455761.022916667
13,4419549.045865384
14,3730520.3008333333
15,3566971.0275
16,5244129.54875
17,3881778.905
18,4094484.8675
19,3315700.69625
20,3365436.7475
21,4444764.33
22,4459416.14596591
23,4654607.384666667
24,4468842.832840909
25,3066573.936583333
26,3326019.672732843
27,4609106.965738636
28,3776516.215
29,4175648.6164903846
30,5101933.9775
31,2791995.3625
32,3778554.632316177
33,4183077.97
34,3276637.3025
35,3551667.458333334
36,3972757.4924242417
37,4887435.5075
38,3375020.585
39,4237666.061482844
40,4528089.43375
41,3980225.291875
42,4670634.545
43,4314969.9025
44,5337745.880032051
45,3220614.422708334
46,2552338.019375
47,2173011.97
48,4911078.638865385
49,4639836.870416666
50,4242437.8475
51,3834492.07125
52,4594211.369375
53,2495155.0779411765
54,3579178.461041666
55,4112603.214905303
56,5271001.1175
57,4397173.89375
58,4565358.1241666665
59,4552236.79034091
60,3238285.475
61,4143580.2557575763
62,4879963.185416667
63,4193962.753333334
64,4198996.963282086
65,4921815.9575
66,4450734.6430303035
67,4323104.522166667
68,5209421.853
69,3844032.8670206876
70,4103567.514166666
71,2768302.4
72,4020241.657956294
73,3429364.887083334
74,5696393.395625
75,4454439.732329546
76,4163848.0908333333
77,4807837.595
78,4694638.941780303
79,3893697.9058653843
80,5468645.4
81,3891580.006875
82,4364012.001206294
83,4322185.71534091
84,4643748.3055
85,2194032.6375
86,4119786.873863636
87,4617272.53222902
88,4766922.876875
89,3776971.44625
90,5238634.63
91,4437000.944166666
92,3209186.035416667
93,3603883.2
94,4842897.761666667
95,3642912.78625
96,4114772.0974053033
97,4258535.546875
98,4194118.7725
99,5024490.656363636
100,3791447.90125
101,3523394.335
102,4434868.4975
103,4134159.0947159096
104,4684669.1225
105,2975684.4975
106,4699572.702032086
107,4231041.095833334
108,4740776.901912879
109,4052509.229375
110,4611757.555530303
111,3858187.1775
112,4163293.5825
113,4053715.551875
114,3691377.159166666
115,4846333.248865385
116,2999931.2529411768
117,4240769.71
118,3622807.67125
119,5154188.26125
120,4777682.4855
121,4586111.414905303
122,3809272.7457386362
123,4742093.700416666
124,2464227.445
125,4306623.78
126,4847674.251666666
127,3233025.194375
128,4894320.7625
129,5125777.5525
130,2642119.8552083336
131,4704293.73375
132,5247654.777145722
133,3173558.415
134,4783326.6375
135,3556152.6446153843
136,4405332.932115384
137,4552983.175
138,4056183.54
139,4156951.9325
140,4986095.1355
141,3165247.585
142,5064108.704166667
143,3917127.022708333
144,3472469.4093123544
145,3918874.600416667
146,4029878.771041667
147,3207877.379375
148,4159152.4900565613
149,4824224.15625
150,4275432.619653263
151,3802683.6425
152,4790681.18
153,5862332.035
154,2943668.075
155,5092294.26125
156,4523083.927020688
157,4106668.8
158,4301625.99
159,3807452.888187388
160,3607296.1463636365
161,4963570.074583334
162,5182844.315625
163,4366785.079615384
164,5504320.357083334
165,4231408.250865384
166,4141458.647941177
167,2968342.4475
168,3503192.0725
169,4496727.2488636365
170,3608093.5720206876
171,2619031.298679813
172,3471237.05375
173,4517767.0375
174,4064394.4441666664
175,2829793.295
176,4893521.132280303
177,3828331.943125
178,4360043.805
179,4066073.8382820864
180,4913216.409166667
181,3516729.9685416664
182,4573214.87284648
183,4909335.882916667
184,4638477.65625
185,3359034.644375
186,4778632.325
187,4665975.04034091
188,4971994.202840909
189,4544452.854961865
190,4601466.322316177
191,4325052.3125
192,5070497.791666666
193,2896616.81375
194,3499232.446666667
195,3879201.621875
196,4423416.18625
197,2714308.722291667
198,4564710.194090909
199,3478494.24625
200,4340507.7275
201,3194007.9525
202,4397380.47394697
203,4861169.991875
204,4974629.360448717
205,4318207.94125
206,5074379.929166666
207,4356872.33875
208,4262672.004166666
209,3308390.7602403844
210,4877123.752115385
211,3723968.054375
212,3187763.2016911767
213,3578406.8383653844
214,5604992.347999999
215,1894361.2475
216,5480641.027954545
217,4529910.8575
218,4061469.695
219,2899742.835
220,4632617.3966666665
221,4464586.66125
222,5540073.840833332
223,3525636.313882576
224,4703869.190229021
225,4857924.066363636
226,3314353.679191177
227,5431546.8975
228,2778909.83625
229,4195429.99625
230,4181143.270448718
231,5855970.306166666
232,4259026.56
233,4189348.3421153845
234,3116575.724375
235,4911149.28125
236,3763926.7175
237,3108073.34375
238,4688824.221698717
239,4150823.4225
240,4345030.85506993
241,4366481.272954546
242,2838366.790441177
243,4173990.9091911768
244,5221506.33625
245,5209803.009304812
246,3719594.2819128786
247,4283190.576804813
248,4234788.595625001
249,4683780.043086864
